pc_time,packet_no,target_index,track_id,x_m,y_m,speed_m_s,pv,distance_m,match_distance_m
2026-06-26T10:00:00,1,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:00,1,1,2,0.6,0.8,0.05,50,2.45,0.01
2026-06-26T10:00:00,1,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:00,1,3,4,-0.05,-6.6,0.5,50,3.8,0.01
2026-06-26T10:00:06,2,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:06,2,1,2,0.6,0.84,0.05,50,2.45,0.01
2026-06-26T10:00:06,2,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:06,2,3,4,-0.05,-6.58,0.5,50,3.8,0.01
2026-06-26T10:00:12,3,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:12,3,1,2,0.6,0.88,0.05,50,2.45,0.01
2026-06-26T10:00:12,3,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:12,3,3,4,-0.05,-6.56,0.5,50,3.8,0.01
2026-06-26T10:00:18,4,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:18,4,1,2,0.6,0.92,0.05,50,2.45,0.01
2026-06-26T10:00:18,4,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:18,4,3,4,-0.05,-6.54,0.5,50,3.8,0.01
2026-06-26T10:00:24,5,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:24,5,1,2,0.6,0.96,0.05,50,2.45,0.01
2026-06-26T10:00:24,5,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:24,5,3,4,-0.05,-6.52,0.5,50,3.8,0.01
2026-06-26T10:00:30,6,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:30,6,1,2,0.6,1.0,0.05,50,2.45,0.01
2026-06-26T10:00:30,6,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:30,6,3,4,-0.05,-6.5,0.5,50,3.8,0.01
2026-06-26T10:00:36,7,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:36,7,1,2,0.6,1.04,0.05,50,2.45,0.01
2026-06-26T10:00:36,7,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:36,7,3,4,-0.05,-6.48,0.5,50,3.8,0.01
2026-06-26T10:00:42,8,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:42,8,1,2,0.6,1.08,0.05,50,2.45,0.01
2026-06-26T10:00:42,8,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:42,8,3,4,-0.05,-6.46,0.5,50,3.8,0.01
2026-06-26T10:00:48,9,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:48,9,1,2,0.6,1.12,0.05,50,2.45,0.01
2026-06-26T10:00:48,9,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:48,9,3,4,-0.05,-6.44,0.5,50,3.8,0.01
2026-06-26T10:00:54,10,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:00:54,10,1,2,0.6,1.16,0.05,50,2.45,0.01
2026-06-26T10:00:54,10,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:00:54,10,3,4,-0.05,-6.42,0.5,50,3.8,0.01
2026-06-26T10:01:00,11,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:00,11,1,2,0.6,1.2,0.05,50,2.45,0.01
2026-06-26T10:01:00,11,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:00,11,3,4,-0.05,-6.4,0.5,50,3.8,0.01
2026-06-26T10:01:06,12,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:06,12,1,2,0.6,1.24,0.05,50,2.45,0.01
2026-06-26T10:01:06,12,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:06,12,3,4,-0.05,-6.38,0.5,50,3.8,0.01
2026-06-26T10:01:12,13,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:12,13,1,2,0.6,1.28,0.05,50,2.45,0.01
2026-06-26T10:01:12,13,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:12,13,3,4,-0.05,-6.36,0.5,50,3.8,0.01
2026-06-26T10:01:18,14,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:18,14,1,2,0.6,1.32,0.05,50,2.45,0.01
2026-06-26T10:01:18,14,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:18,14,3,4,-0.05,-6.34,0.5,50,3.8,0.01
2026-06-26T10:01:24,15,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:24,15,1,2,0.6,1.36,0.05,50,2.45,0.01
2026-06-26T10:01:24,15,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:24,15,3,4,-0.05,-6.32,0.5,50,3.8,0.01
2026-06-26T10:01:30,16,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:30,16,1,2,0.6,1.4,0.05,50,2.45,0.01
2026-06-26T10:01:30,16,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:30,16,3,4,-0.05,-6.3,0.5,50,3.8,0.01
2026-06-26T10:01:36,17,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:36,17,1,2,0.6,1.44,0.05,50,2.45,0.01
2026-06-26T10:01:36,17,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:36,17,3,4,-0.05,-6.28,0.5,50,3.8,0.01
2026-06-26T10:01:42,18,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:42,18,1,2,0.6,1.48,0.05,50,2.45,0.01
2026-06-26T10:01:42,18,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:42,18,3,4,-0.05,-6.26,0.5,50,3.8,0.01
2026-06-26T10:01:48,19,0,1,0.5,2.4,0.05,50,2.45,0.01
2026-06-26T10:01:48,19,1,2,0.6,1.52,0.05,50,2.45,0.01
2026-06-26T10:01:48,19,2,3,0.0,1.0,0.3,50,2.0,0.01
2026-06-26T10:01:48,19,3,4,-0.05,-6.24,0.5,50,3.8,0.01
